uid,strict_status,priority,make,model_as_supplied,asset_title,year_evidence,generation_evidence,visual_trim_evidence,body_style_evidence,faces,likes,metadata_score,duplicate_count,duplicate_rank,creator,licence_recorded,licence_status,commercial_gate,source_page,download_api_endpoint,source_origin,source_uid_valid,visual_qc,glass_qc,interior_qc,pbr_qc,scale_qc,live_link_check,final_publish,decision_reason
511412fd4a584f22836a6ea359c2f36b,PRIORITY B,Manual metadata/visual review,Audi,A5 Sportback,Audi A5 Sportback (A5II),,,,Hatchback/Car,950856,30,79,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/models/511412fd4a584f22836a6ea359c2f36b,https://sketchfab.com/models/511412fd4a584f22836a6ea359c2f36b/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
a5b6383c37fb47c6bc9e927b4eaef563,PRIORITY A,First QC queue,Audi,A7 Sportback,Audi A7 Sportback 2017,2017,,,Hatchback/Car,790841,20,86,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/models/a5b6383c37fb47c6bc9e927b4eaef563,https://sketchfab.com/models/a5b6383c37fb47c6bc9e927b4eaef563/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
e9dbd596fdd44e8cbf5c2ab02daf9fe2,PRIORITY B,Manual metadata/visual review,Audi,Audi A1,Audi A1,,,,Hatchback/Car,1086473,8,77,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/3d-models/e9dbd596fdd44e8cbf5c2ab02daf9fe2,https://sketchfab.com/models/e9dbd596fdd44e8cbf5c2ab02daf9fe2/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
36d164ee6086420494e20287f442971f,PRIORITY B,Manual metadata/visual review,Audi,Audi A1,Audi A1,,,,Hatchback/Car,1174964,2,74,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/3d-models/36d164ee6086420494e20287f442971f,https://sketchfab.com/models/36d164ee6086420494e20287f442971f/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
611c2474c9d54b8080730fb64bf9a5ef,PRIORITY A,First QC queue,Audi,Audi A1,Audi A1 S-Line 2019,2019,,,Hatchback/Car,1312255,7,84,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/3d-models/611c2474c9d54b8080730fb64bf9a5ef,https://sketchfab.com/models/611c2474c9d54b8080730fb64bf9a5ef/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
26dd247e80464353a3d4647c01838244,PRIORITY B,Manual metadata/visual review,Audi,Audi A3,Audi A3,,,,Hatchback/Car,274900,9,72,1,1,Nieve5677,CC BY,Web-verified CC BY,CC BY recorded at collection time — recheck live page and preserve attribution,https://sketchfab.com/3d-models/26dd247e80464353a3d4647c01838244,https://sketchfab.com/models/26dd247e80464353a3d4647c01838244/download,New scrape — 29 Jul 2026,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
a48a8c4ac4474c47b8ddf5bba754db40,PRIORITY A,First QC queue,Audi,Audi e-tron,Audi e-Tron GT - made with Blender,,,,Hatchback/Car,1258982,161,83,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/3d-models/a48a8c4ac4474c47b8ddf5bba754db40,https://sketchfab.com/models/a48a8c4ac4474c47b8ddf5bba754db40/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
d95e025603c9449997be95048d10af68,PRIORITY A,First QC queue,Audi,Audi Q3,2014 Audi Q3,2014,,,Hatchback/Car,540563,8,81,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/models/d95e025603c9449997be95048d10af68,https://sketchfab.com/models/d95e025603c9449997be95048d10af68/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
97dccbc18cfb4f1e973fc75e278c6f66,PRIORITY A,First QC queue,Audi,Audi Q3,2023 Audi Q3 40 TFSI,2023,,,Hatchback/Car,996011,67,88,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/3d-models/97dccbc18cfb4f1e973fc75e278c6f66,https://sketchfab.com/models/97dccbc18cfb4f1e973fc75e278c6f66/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
fb051ba83016478f9c107eb68789fd73,PRIORITY A,First QC queue,BMW,- BMW 5series E60,2007 - 2010 BMW 5series E60,2007–2010,E60,,Hatchback/Car,1374841,25,83,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/models/fb051ba83016478f9c107eb68789fd73,https://sketchfab.com/models/fb051ba83016478f9c107eb68789fd73/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
